nome 1,fonte de 1,nome 2,fonte de 2
a grings,Valor,a p participacoes,Economatica
abril,Valor,abril educacao,Economatica
administradores,Economatica associado,administradores e conselheiros,Economatica associado
afluente,Economatica,afluente t,Economatica
agco,Valor,agconcessoes,Economatica
alfa holding,Economatica,alfa holdings,Economatica associado
amazonia,Economatica,amazonia celular,Economatica
andrade gutierrez,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=OIBR associado,andrade gutierrez concessoes,Economatica associado
anglo american,Valor,anglo american inv  minde ferro,Economatica associado
arcelor,Economatica associado,arcelor acos especiais do brasil lt,Economatica associado
arno,Economatica,arnopanex,Valor
astra,Valor,astrazeneca,Valor
bahema,Economatica,bahema equipament,Economatica
banco santander,Economatica associado,banco santander brasil,Economatica associado
banco santander brasil,Economatica associado,banco santander brasil sa  baixada,Economatica associado
banestado,Economatica,banestado participacoes adm e servs,Economatica associado
banex,Economatica,banex do brasil empr e part,Economatica associado
banrisul,Economatica,banrisul fia,Economatica associado
bmf,Economatica,bmf bovespa,Economatica
bny mellon,Economatica associado,bny mellon arx investimentos,Economatica associado
bompreco,Economatica,bompreco bah,Economatica
bosch,Valor,bosch siemens hausgerate gmbh,Economatica associado
bradesco,Economatica,bradesco autore companhia de seguros,Economatica associado
brasil,Economatica,brasil brokers,Economatica
bunge brasil,Economatica,bunge brasil holdings bv,Economatica associado
caf brasil,Valor,caf brasilia,Economatica
camargo correa,Valor,camargo correa desenvolvimento imobiliario,Economatica
cargill,Valor,cargill fertilizant,Economatica
cbc,Valor,cbc  cia brasileira de cartuchos,Economatica associado
cbm,Valor,cbmm,Valor
cedar trade llc,Economatica associado,cedar trade llc  credit suisse brasil sa ctvm,Economatica associado
ceg,Economatica,ceg rio,Valor
celg,Economatica,celgpar,Economatica
celm,Economatica,celma,Valor
cemig,Economatica,cemig gt,Economatica associado
cet,Valor,ceterp,Economatica
chilectra,Economatica associado,chilectra inversud,Economatica associado
claro,Economatica associado,claro telecom participacoes,Valor
claudio bardella,Economatica associado,claudio bardella junior,Economatica associado
conselheiros,Economatica associado,conselheiros e diretores,Economatica associado
conselheiros e diretores,Economatica associado,conselheiros e diretores nao estatutarios,Economatica associado
coop,Valor,cooparaiso,Valor
copas,Economatica,copasa,Economatica
cosan,Economatica,cosan limited,Economatica associado
cra,Valor,craig wilson miller,Economatica associado
cremer,Economatica,cremer participacoes,Economatica associado
cshg,Economatica associado,cshg clique fia,Economatica associado
cyrte investments,Economatica associado,cyrte investments gp iii bv,Economatica associado
diebold procomp,Valor,diebold procomp da am,Valor
dori,Valor,doriane braatz,Economatica associado
doux,Economatica associado,doux frangosul,Valor
duke energy,Economatica,duke energy int brasil,Economatica associado
eduardo odebrecht,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRKM associado,eduardo odebrecht de queiroz,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRKM associado
eletro,Valor,eletrobras,Economatica
eleva,Economatica,elevad atlas,Economatica
embratel,Valor,embratel part,Economatica
encorpar,Economatica,encorpar investimentos,Economatica associado
ericsson,Economatica,ericsson holding international b v,Economatica associado
estado do para,Economatica associado,estado do parana,Economatica associado
f cataguazes,Economatica,f guimaraes,Economatica
f guimaraes,Economatica,f mota administracao e empreendimentos,Economatica associado
federated equity management company,Economatica associado,federated equity management company of pennsylvania,Economatica associado
flora,Valor,flora sans romi,Economatica associado
gerdau,Economatica,gerdau met,Economatica
gol,Economatica,gold negocios e participacao,Economatica associado
granol,Valor,granoleo,Economatica
grendene,Economatica,grendene negocios,Economatica associado
guilherme affonso ferreira,Economatica associado,guilherme affonso ferreira filho,Economatica associado
habitasul,Economatica,habitasul desenvolvimentos imobiliarios,Economatica associado
hercules,Economatica,hercules sa  fabrica de talheres,Economatica associado
hering,Valor,heringer,Economatica
iberdrola energia,Economatica associado,iberdrola energia do brasil,Economatica associado
inb,Valor,inbrac,Economatica
inepar,Economatica,inepar  administracao e partic,Economatica associado
ipiranga pet,Economatica,ipiranga petroquimica,Economatica associado
ishares indice bmfbovespa,Economatica,ishares indice bmfbovespa imo,Economatica
itau,Economatica associado,itausa  investimentos itau,Economatica
j macedo,Valor,j malucelli small caps fia,Economatica associado
joao stramosk,Economatica associado,joao stramosk filho,Economatica associado
jorlan,Valor,jorlan bh,Valor
jose adauto bezerra,Economatica associado,jose adauto bezerra junior,Economatica associado
klabin,Economatica,klabin irmaos  cia,Economatica associado
lanxess,Valor,lanxess participacoes,Economatica associado
lar,Valor,larco petroleo,Valor
leblon equities,Economatica associado,leblon equities gestao de recursos,Economatica associado
litel,Economatica,litel participacoes,"http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=VALE
http://www.vale.com.br/pt-br/investidores/resultados-e-informacoes-financeiras/relatorios-sec/Documents/2010/form20f/20F_2010_p.pdf associado"
lorenz,Economatica,lorenzetti,Valor
mackenzie,Valor,mackenzie financial corporation,Economatica associado
magneti marelli,Economatica associado,magneti marelli cofap,Valor
mangels,Valor,mangels indl,Economatica
mannesmann,Economatica,mannesmannrohren werke,Economatica associado
marcelo henrique limirio goncalves,Economatica associado,marcelo henrique limirio goncalves filho,Economatica associado
millennium,http://www.bradespar.com.br/Bradespar/?vgnextoid=d07ee700c3427210VgnVCM100000242810acRCRD&vgnextchannel=d07ee700c3427210VgnVCM100000242810acRCRD associado,millennium australind,Economatica associado
multiplan,Economatica,multiplan plan partic e adm,Economatica associado
net,Economatica,net shoes,Valor
norberto odebrecht,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRKM associado,norberto odebrecht junior,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRKM associado
odebrecht,Economatica,odebrecht real imob,Valor
ouro verde,Valor,ouro verde investimentos e participacoes,Economatica associado
outros,Bovespa associado,outros integrantes do controle,Economatica associado
parana,Economatica,paranapanema,Economatica
parati,Valor,parati sa participacoes em ativos de energia eletrica,Economatica associado
petrobras,Economatica,petrobras distrib,Economatica
pirelli,Economatica,pirelli cavi,Economatica associado
plascar,Valor,plascar part,Economatica
porto seguro,Economatica,porto seguro itauunibanco particip,Economatica associado
puma,Valor,puma invest llc,Economatica associado
quattor,Economatica associado,quattor participacoes,Economatica associado
queiroz galvao,Valor,queiroz galvao des imob,Valor
raia,Economatica,raia drogasil,Economatica
realpar part,Economatica,realpar participacoes,Economatica associado
s gobain canal,Economatica,s gobain vidro,Economatica
sama,Valor,samadhi partic e administracao,Economatica associado
sansuy,Economatica,sansuy adm part e repr e serv,Economatica associado
santos bras,Economatica,santos brasil part,Economatica
santos brasil part,Economatica,santos brasil participacoes,Economatica associado
sao martinho,Economatica,sao martinho 1,Valor
sap,Valor,sapil,Economatica associado
seara,Valor,seara alim,Economatica
seb,Economatica,seb forvaltnings ab,Economatica associado
semp,Economatica,semp toshiba amazonas,Valor
sibra,Economatica,sibra eletrosiderurgica bras,Economatica associado
soares penido,Valor,soares penido concessoes,Economatica associado
sola,Economatica,solange maria simoes reis,Economatica associado
springs,Economatica,springs investment fund i llc,Economatica associado
sudameris,Economatica,sudameris dtvm,Economatica associado
sul america,Economatica,sul america investimentos dtvm,Economatica associado
sultepa,Economatica,sultepa participacoes,Economatica associado
tam,Economatica,tambasa atacadistas,Valor
tarpon inv,Economatica,tarpon investment group,Economatica associado
technos,Economatica,technos rel,Economatica
telefonica,Economatica associado,telefonica brasil,Economatica
telemar,Economatica,telemar norte leste,Economatica
terra,Valor,terracap,Valor
trisul,Economatica,trisul participacoes,Economatica associado
unibanco,Economatica,unibanco hld,Economatica
vale,Economatica,vale empreendimentos e participacoes,Economatica associado
vigor,Economatica,vigor food,Economatica
vivo,Economatica,vivo participacoes,Economatica associado
volkswagen,Valor,volkswagen camin e onibus,Valor
votoran,Valor,votorantim cimentos,Economatica associado
votorantim metais,Valor,votorantim metais zinco,Valor
weg,Economatica,weg equipamentos eletricos,Economatica associado
wembley,Economatica,wembley sociedade anonima,Economatica associado
whirlpool,Economatica,whirlpool canada holding co,Economatica associado
wilson lemos de moraes,Economatica associado,wilson lemos de moraes junior,Economatica associado
yara brasil,Economatica,yara brasil fertilizantes,Valor
